name,reign,days,date,event,location,link,belt,date_of_birth,date_of_death,cause_of_death
Buddy Rogers,1,36,11-Apr-63,House show,"Washington, D.C.",/wiki/Buddy_Rogers_(wrestler),WWE Championship,2/20/1921,6/26/1992,
Bruno Sammartino,1,2803,17-May-63,House show,"New York, NY",/wiki/Bruno_Sammartino,WWE Championship,10/6/1935,4/18/2018,Multiple organ failure due to heart problems[2]
Ivan Koloff,1,21,18-Jan-71,House show,"New York, NY",/wiki/Ivan_Koloff,WWE Championship,8/25/1942,2/18/2017,Liver cancer
Pedro Morales,1,1027,8-Feb-71,House show,"New York, NY",/wiki/Pedro_Morales,WWE Championship,10/22/1942,2/12/2019,
Stan Stasiak,1,9,1-Dec-73,House show,"Philadelphia, PA",/wiki/Stan_Stasiak,WWE Championship,4/13/1937,6/19/1997,Heart failure
Bruno Sammartino,2,1237,10-Dec-73,House show,"New York, NY",/wiki/Bruno_Sammartino,WWE Championship,10/6/1935,4/18/2018,Multiple organ failure due to heart problems[2]
Superstar Billy Graham,1,296,30-Apr-77,House show,"Baltimore, MD",/wiki/Superstar_Billy_Graham,WWE Championship,6/7/1943,,
Bob Backlund,1,648,20-Feb-78,WWF on MSG Network,"New York, NY",/wiki/Bob_Backlund,WWE Championship,8/14/1949,,
Antonio Inoki,1,6,30-Nov-79,House show,"Tokushima, Japan",/wiki/Antonio_Inoki,WWE Championship,2/20/1943,,
Bob Backlund,2,1470,17-Dec-79,WWF on MSG Network,"New York, NY",/wiki/Bob_Backlund,WWE Championship,8/14/1949,,
The Iron Sheik,1,28,26-Dec-83,WWF on MSG Network,"New York, NY",/wiki/The_Iron_Sheik,WWE Championship,3/15/1942,,
Hulk Hogan,1,1474,23-Jan-84,WWF on MSG Network,"New York, NY",/wiki/Hulk_Hogan,WWE Championship,8/11/1953,,
André the Giant,1,0,5-Feb-88,The Main Event I,"Indianapolis, IN",/wiki/Andr%C3%A9_the_Giant,WWE Championship,5/19/1946,1/27/1993,Congestive heart failure
Ted DiBiase,1,8,5-Feb-88,The Main Event I,"Indianapolis, IN",/wiki/Ted_DiBiase,WWE Championship,1/18/1954,,
Randy Savage,1,371,27-Mar-88,WrestleMania IV,"Atlantic City, NJ",/wiki/Randy_Savage,WWE Championship,11/15/1952,5/20/2011,Cardiovascular disease
